Sigla;Nombre;Semestre_Ideal;Prerrequisitos;Creditos;Estado
MAT060;ÁLGEBRA Y GEOMETRÍA;1;;6;
HXW006;HUMANISTA 1;1;;3;
EFI200;EDUCACIÓN FÍSICA 1;1;;2;
INF129;INTRODUCCIÓN A LA PROGRAMACIÓN;1;;7;
MAT070;INTRODUCCIÓN AL CÁLCULO;1;;6;
FIS100;INTRODUCCIÓN A LA FÍSICA;1;;6;
MAT061;ÁLGEBRA LINEAL;2;MAT060;6;
MAT071;CÁLCULO EN UNA VARIABLE;2;MAT070;6;
HXW007;HUMANISTA 2;2;HXW006;3;
EFI201;EDUCACIÓN FÍSICA 2;2;EFI200;2;
FIS11125;FÍSICA GENERAL;2;FIS100;6;
IWG400;PROYECTO INICIAL;2;;7;
HMN70625;ANÁLISI CRÍTICO DE TEXTO;3;;3;
MAT00225;CÁLCULO EN VARIAS VARIABLES;3;MAT071, MAT061;6;
FIS13125;CALOR Y ONDAS;3;FIS11125, MAT070, MAT060;6;
ICF20125;FÍSICA EXPERIMENTAL PARA INGENIERÍA;3;FIS11125;9;
QUI70125;QUÍMICA PARA INGENIERÍA;3;MAT070;6;
HMN70725;HUMANISTA 3;4;HXW007;3;
MAT03325;ECUACIONES DIFERENCIALES;4;MAT071, MAT061;5;
FIS12125;ELECTRICIDAD Y MAGNETISMO;4;FIS11125, MAT071, MAT061;6;
FIS20325;LABORATORIO DE MECÁNICA;4;ICF20125, FIS13125;3;
FIS20225;MECÁNICA INTERMEDIA;4;MAT00225, FIS11125;7;
INF73625;PROGRAMACIÓN AVANZADA PARA CIENCIAS;4;INF129;6;
ICS70726;ADMINISTRACIÓN Y SOSTENIBILIDAD EMPRESARIAL;5;;4;
FIS30426;FÍSICA MODERNA;5;;8;
FIS30526;MÉTODOS DE LA FÍSICA MATEMÁTICA;5;MAT03325;9;
HMN70825;PRÁCTICA EN ACCIÓN COMUNITARIA;5;IWG400;3;
MEC70125;TERMODINÁMICA;5;FIS13125;6;
